original_index,image,problem,solution,schema,netlist
266,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CEFF700>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: The equivalent circuit of a simple system and the parameters converted to a unified base value are shown in the figure. Calculate the static stability reserve coefficient \( K_P \)=( )\%.",77,"L1 L N0 N1 j0.295Ω
L2 L N1 N2 j0.138Ω
L3 L N2 N3 j0.486Ω
L4 L N2 N3 j0.486Ω
L5 L N3 N4 j0.122Ω
Labels:
E' V N0 0
U V N4 0; U=1.0∠0°
P_0=1
cosφ=0.98","* circuit generated from schema
VE N0 0 DC 1
VU N4 0 AC 1 0
L1 N0 N1 0.782m
L2 N1 N2 0.366m
L3 N2 N3 1.289m
L4 N2 N3 1.289m
L5 N3 N4 0.324m
.end"
267,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CEFF760>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, \( U_{S} > 0, I_{S} > 0 \). When the contact of \( R_{P} \) moves downward, 
Choices 
A. The power emitted by \( U_{S} \) increases  
B. The power consumed by \( U_{S} \) increases  
C. The power consumed by \( R_{1} \) decreases  
D. The power emitted by \( I_{S} \) increases
",A,"US V N1 N2 NA
IS I N1 N3 NA; current source
R2 R N3 N2 NA
RP POT N1 N4 NA
R1 R N4 N2 NA","* circuit generated from schema
VUS N1 0 DC 1
I1 N1 N3 DC 1m
R2 N3 0 1k
RP N1 N4 10k
R1 N4 0 1k
.end"
268,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CEFF7F0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Consider the model shown in the <image> of a transmission line with a series capacitor at its mid-point. The maximum voltage on the line is at the location

Choices  
A. \( P_1 \)  
B. \( P_2 \)  
C. \( P_3 \)  
D. \( P_4 \)
",C,"Vs V P1 0 1pu∠0°; normalized
L1 L P1 P2 j0.1pu
C1 C P2 P3 -j0.1pu
L2 L P3 P4 j0.1pu
Labels:
Vr V P4 0; normalized
I I P4 0; I = 1pu","* circuit generated from schema
.param FBASE=60
.param XPU=0.1
VS P1 0 DC 1
L1 P1 P2 {XPU/(2*pi*FBASE)}
C1 P2 P3 {1/(2*pi*FBASE*XPU)}
L2 P3 P4 {XPU/(2*pi*FBASE)}
VR P4 0 DC 1
I1 P4 0 DC 1
.end"
269,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CEFF880>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown, the potential at point A is ( ).
Choices
A. -12V
B. -6V
C. 6V
D. 12V
",B,"R1 R N1 0 24Ω
R2 R A 0 12Ω
R3 R A N2 36Ω
Labels:
+12V V N1 0
-24V V N2 0","* circuit generated from schema
V1 N1 0 DC 12
V2 N2 0 DC -24
R1 N1 0 24
R2 A 0 12
R3 A N2 36
.end"
270,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CEFF8B0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the 3-phase inverter circuit shown, the load is balanced and the gating scheme is 180°-conduction mode. All the switching devices are ideal.
The RMS value of load phase voltage is
Choices:
A. 106.1 V
B. 141.4 V
C. 212.2 V
D. 282.8 V
",B,"Vd V N1 N2 NA
S1 SW N1 N3 NA
S4 SW N3 N2 NA
S3 SW N1 N4 NA
S6 SW N4 N2 NA
S5 SW N1 N5 NA
S2 SW N5 N2 NA
R1 R N3 N6 20Ω
R2 R N4 N6 20Ω
R3 R N5 N6 20Ω
Labels:
Vph V N3 N6
3-phase_inverter TEXT; spans S1 through S6
3-phase_balanced_load TEXT; spans R1,R2,R3","* circuit generated from schema
* DC bus supply
Vd N1 0 DC 12
* Phase voltage label (probe)
Vph N3 N6 DC 0
* Gate drive sources (3-phase, 120-degree shifts)
VG1 G1 0 PULSE(1 0 0 1n 1n 150u 300u)
VG4 G4 0 PULSE(0 1 0 1n 1n 150u 300u)
VG3 G3 0 PULSE(1 0 100u 1n 1n 150u 300u)
VG6 G6 0 PULSE(0 1 100u 1n 1n 150u 300u)
VG5 G5 0 PULSE(1 0 200u 1n 1n 150u 300u)
VG2 G2 0 PULSE(0 1 200u 1n 1n 150u 300u)
* Inverter switches
S1 N3 N1 G1 0 SWMOD
S4 N3 0 G4 0 SWMOD
S3 N4 N1 G3 0 SWMOD
S6 N4 0 G6 0 SWMOD
S5 N5 N1 G5 0 SWMOD
S2 N5 0 G2 0 SWMOD
* Balanced three-phase load
R1 N3 N6 20
R2 N4 N6 20
R3 N5 N6 20
* Neutral reference
Rneutral N6 0 1MEG
* Text labels
* 3-phase_inverter spans S1 S4 S3 S6 S5 S2
* 3-phase_balanced_load spans R1 R2 R3
* Switch model
.model SWMOD SW(Ron=0.01 Roff=1e6 Vt=0.5 Vh=0.1)
.end"
271,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CEFF9A0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question:In the circuit shown in figure, when \( u_2 > 0 \):
Choices
A. \( D_1 \) and \( D_2 \) are conducting, \( D_3 \) and \( D_4 \) are off
B. \( D_1 \) and \( D_4 \) are conducting, \( D_2 \) and \( D_3 \) are off
C. \( D_1 \) and \( D_2 \) are off, \( D_3 \) and \( D_4 \) are conducting
D. \( D_1 \) and \( D_4 \) are off, \( D_2 \) and \( D_3 \) are conducting
",B,"D1 D N1 Np NA
D2 D N2 Np NA
D3 D Nn N1 NA
D4 D Nn N2 NA
Labels:
u2 V N1 N2
Uo V Np Nn","* circuit generated from schema
V1 N1 0 DC 1
D1 N1 Np NA
D2 0 Np NA
D3 Nn N1 NA
D4 Nn 0 NA
.model NA D(IS=1e-14 N=1 RS=0.1 BV=100 IBV=1e-6 TT=1e-7)
.end"
272,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CEFFF40>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, the connections that can produce self-excited oscillation are:
Choices 
A. 1 — 2; 3 — 5  
B. 1 — 3; 2 — 5  
C. 1 — 4; 2 — 5  
D. 1 — 5; 2 — 3
",B,"Q1 NPN NC NB NE; NC at node 4 (NC=4), NE at node 1(NE=1)
Re R 1 0 NA
L L 4 2 NA
C1 C 4 3 NA
C2 C 3 2 NA
Rb1 R 5 NB NA
Rb2 R NB 0 NA
Cb C NB 0 NA
Labels:
Vcc V 5 0","* circuit generated from schema
V1 5 0 DC 5
Q1 4 NB 1 QNPN
Re 1 0 1k
L1 4 2 10uH
C1 4 3 100p
C2 3 2 100p
Rb1 5 NB 100k
Rb2 NB 0 10k
Cb NB 0 1uF
.model QNPN NPN(IS=1e-14 BF=100 VAF=100 IKF=0.1 BR=4 RE=1 RB=10 RC=1 XTB=1.5 CJE=20.8p CJC=8.33p TF=611p TR=138n)
.end"
273,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CEFFF70>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, given \( I_S = 2A \), \( U_S = 6V \), \( R = 6\Omega \), the current \( I \) is ( ). 
Choices 
A. \(- \frac{2}{3} A\)  
B. -0.5A  
C. \(\frac{4}{3} A\)  
D. 1.5A
",B,"Us V N1 N0 NA
R1 R N1 N2 R
R2 R N2 N3 R
R3 R N2 N0 R
Is I N3 N0 NA; current source
Labels:
I I N2 N0","* circuit generated from schema
V1 N1 0 DC 1
R1 N1 N2 1k
R2 N2 N3 1k
R3 N2 0 1k
I1 N3 0 DC 1m
.end"
274,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCE050>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: In the circuit shown in figure 24, the readings of the two voltmeters are as indicated. The effective value of the voltage \( u \) is ( )V.
",14.1,"V1 VOLTMETER N1 N2 10V
V2 VOLTMETER N2 N3 10V
L L N1 N2 NA
R R N2 N3 NA
Labels:
u V N1 N3","* circuit generated from schema
V1 N1 N2 DC 10
V2 N2 0 DC 10
L1 N1 N2 1m
R1 N2 0 1k
.end"
275,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCE530>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: In the circuit shown in figure, given \( C1 = 5 \, \mu F \), \( C2 = 8 \, \mu F \), \( C3 = 12 \, \mu F \), \( C4 = 10 \, \mu F \), and \( C5 = 4 \, \mu F \), find the equivalent capacitance between points A and B when the switch S is closed. The equivalent capacitance is ________\mu F.
",2.1,"C1 C A N1 NA
C5 C B N2 NA
C2 C N1 N2 NA
C3 C N1 N2 NA
S SW N1 N3 NA
C4 C N3 N2 NA","* circuit generated from schema
V1 A 0 DC 1
C1 A N1 1u
C5 B N2 1u
C2 N1 N2 1u
C3 N1 N2 1u
C4 N3 N2 1u
S1 N1 N3 CTRL 0 SWMOD
VCTRL CTRL 0 DC 1
.model SWMOD SW(RON=1 ROFF=1e6 VON=0.5 VOFF=0.4)
.end"
276,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCE590>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, the power on the 2Ω resistor is ( ). 
Choices
A. 0.5W 
B. 1W 
C. 2W 
D. 4W
",A,"V1 V N1 N3 2V
R1 R N1 N2 2Ω
R2 R N2 N3 1Ω
V2 V N2 N3 1V","* circuit generated from schema
V1 N1 0 DC 2
R1 N1 N2 2
R2 N2 0 1
V2 N2 0 DC 1
.end"
277,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCE5F0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in Figure of the question, the voltages across  \(C_1\) and \(C_2\) are:
Choices 
A. \(12V\), \(6V\)
B. \(6V\), \(12V\)
C. \(0V\), \(12V\)
D. \(12V\), \(0V\)
",C,"R1 R N1 N2 10Ω
V1 V N3 N2 6V
R2 R N2 N4 15Ω
C1 N1 N5 NA
C2 N3 N6 NA
I1 I N5 N4 2A; independent current source
R3 R N4 N6 3Ω
R4 R N5 N7 3Ω
V2 V N7 N6 12V","* circuit generated from schema
R1 N1 N2 10
V1 N3 N2 DC 6
R2 N2 N4 15
C1 N1 N5 1u
C2 N3 0 1u
I1 N5 N4 DC 2
R3 N4 0 3
R4 N5 N7 3
V2 N7 0 DC 12
.end"
279,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCE830>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, \( Z \) is an inductive reactance, and the phase relationship between its current and voltage is:
Choices
A. Voltage leads current
B. Current leads voltage
C. Voltage and current are in phase
D. Cannot be determined
",A,"Z Z N1 N2 NA
Labels:
U V N1 N2
i I N1 N2","* circuit generated from schema
V1 N1 0 DC 1
I1 N1 0 DC 1m
RZ N1 0 1k
.end"
280,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCE8F0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, the distortion and its solution are ( )
Choices
A. Clipping distortion, increase \( R_b \)
B. Saturation distortion, increase \( R_b \)
C. Clipping distortion, decrease \( R_b \)
D. Saturation distortion, decrease \( R_b \)
",B,"VT NPN NC NB NE NA; Ne (emitter) grounded
Rb R Nucc NB NA
Rc R Nucc NC NA
RL R No 0 NA
C1 C Ni NB NA
C2 C NC No NA
Labels:
Ucc V Nucc 0
ui V Ni 0
uo V No 0
x axis: t, y axis: uo, curve: sinusoidal with negative peak clipped","* circuit generated from schema
Vucc Nucc 0 DC 12
Vui Ni 0 DC 0
Rb Nucc NB 100k
Rc Nucc NC 4.7k
RL No 0 10k
C1 Ni NB 10u
C2 NC No 10u
QVT NC NB 0 NPN_MOD
.model NPN_MOD NPN (IS=1e-14 BF=100 VAF=100 NE=2 BR=4 NR=1 VAR=24 IKR=0.45 RE=1.54 RB=6.17 RC=0.617 XTB=1.5 CJE=20.8p CJC=8.33p TF=611p TR=138n)
.end"
281,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCE9B0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: The input resistance \(R_i\) of the amplifier shown in <image> is

Choices  
A. \(\frac{30}{4} \text{ k}\Omega\)  
B. \(10 \text{ k}\Omega\)  
C. \(40 \text{ k}\Omega\)  
D. infinite
",B,"A1 AMP Nn Np NA; Nn inverting input, Np non-inverting input, Np at GND(0)
R1 R Ni Nn 10kΩ
R2 R Nn No 30kΩ
V V Ni 0 NA
Labels:
Ri R; input resistance","* circuit generated from schema
V1 Ni 0 DC 1
R1 Ni Nn 10k
R2 Nn No 30k
E1 No 0 0 Nn 1e6
.end"
282,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCEAD0>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: In the circuit shown in figure, the values of voltages \( U_2 \) is ()V.
",8,"R1 R U1 N0 8Ω
R2 R U1 N1 2Ω
V1 V N1 U2 2V
R3 R U2 N0 4Ω
I1 I N0 U2 3A; independent current source
Labels:
U1 V U1 N0
U2 V U2 N0","* circuit generated from schema
R1 U1 0 8
R2 U1 N1 2
V1 N1 U2 DC 2
R3 U2 0 4
I1 0 U2 DC 3
.end"
283,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCEDD0>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: In the circuit shown in <image>, the circuit is meant to supply a resistive load \( R_L \) from two separate DC voltage sources. The switches \( S_1 \) and \( S_2 \) are controlled so that only one of them is ON at any instant. \( S_1 \) is turned on for 0.2 ms and \( S_2 \) is turned on for 0.3 ms in a 0.5 ms switching cycle time period. Assuming continuous conduction of the inductor current and negligible ripple on the capacitor voltage, the output voltage \( V_0 \) (in Volt) across \( R_L \) is ________. ",7,"V1 V N1 N0 10V
V2 V N4 N0 5V
S1 SW N1 N2 NA; SPST SW
S2 SW N4 N5 NA; SPST SW
D1 D N2 N3 NA
D2 D N5 N3 NA
L L N3 N6 NA
C C N6 N0 NA
R_L R N6 N0 NA
Labels:
Vo V N6 N0","* circuit generated from schema
V1 N1 0 DC 10
V2 N4 0 DC 5
VCTRL1 VC1 0 DC 5
VCTRL2 VC2 0 DC 5
S1 N1 N2 VC1 0 SWMOD
S2 N4 N5 VC2 0 SWMOD
D1 N2 N3 Dmod
D2 N5 N3 Dmod
L1 N3 N6 100u
C1 N6 0 10u
Rload N6 0 100
.model SWMOD SW(Ron=1m Roff=1Meg Vt=2 Vh=0)
.model Dmod D(Is=1e-14 N=1 Rs=0.1 Cjo=1p M=0.5 Bv=100 Ibv=1e-3)
.end"
284,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCEF50>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, the output voltage \( U_0 \) is ( ).
Choices 
A. 12V  
B. -12V  
C. 10V  
D. -10V
",A,"A1 AMP Nn Np No NA; Nn inverting input, Np non-inverting input
R1 R N1 Nn 10kΩ
R2 R N2 Np 9.1kΩ
R3 R Nn No 100kΩ
Labels:
+1V V N1 0
+2V V N2 0
Uo V No 0","* circuit generated from schema

* Voltage sources
V1 N1 0 DC 1
V2 N2 0 DC 2

* Resistors
R1 N1 Nn 10k
R2 N2 Np 9.1k
R3 Nn No 100k

* Op-amp modeled as a VCVS with high gain
EOP No 0 Np Nn 1e6

.end"
286,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCF010>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: As shown in the figure of the common collector amplifier circuit, given the transistor's \( _x0008_eta = 50 \), \( U_{BEQ} = 0.7V \), \( V_{CC} = 12V \), the values of \( U_{CEQ} \) is ()V.
",6.4,"Q1 NPN NC NB NE NA
RB R NC NB 200KΩ
RE R NE 0 4KΩ
RL R Nout 0 6KΩ
C1 C Nin NB NA
C2 C NE Nout NA
Labels:
ui V Nin 0
uo V Nout 0
Vcc V NC 0","* circuit generated from schema
VCC NC 0 DC 12
VUI Nin 0 DC 0
RB NC NB 200k
RE NE 0 4k
RL Nout 0 6k
C1 Nin NB 1u
C2 NE Nout 1u
Q1 NC NB NE MOD1
.MODEL MOD1 NPN BF=50 VAF=50 IS=1E-12 RB=100 CJC=0.5p TF=0.6n
.end"
288,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCF1F0>,"Hint: Please answer the question requiring a floating-point number with two decimal place and provide the final value, e.g., 1.23, 1.34, 1.45, at the end. 
Question: Calculate the current through the zener diode for the given values of load resistance in this circuit, as shown in the figure. Given \( R_\text{load} = 1 \, k\Omega \), the zener current \( I_\text{zener} \) is ______mA.",5.52,"V_source V 0 Nv 24V
R_series R Nv Nd 1.2kΩ
D1 D Nd 0 7.9V; D1 is a zener diode
Rload R Nd 0 NA","* circuit generated from schema
V1 Nv 0 DC 24
R_series Nv Nd 1.2k
D1 0 Nd DZ7V9
Rload Nd 0 1k
.model DZ7V9 D(IS=1e-12 N=1 BV=7.9 IBV=1m)
.end"
289,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCF250>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: For the circuit given in the figure, the voltage \( V_C \) (in volts) across the capacitor is  
**Choices:**  
A. \( 1.25\sqrt{2}\sin(5t - 0.25\pi) \)  
B. \( 1.25\sqrt{2}\sin(5t - 0.125\pi) \)  
C. \( 2.5\sqrt{2}\sin(5t - 0.25\pi) \)  
D. \( 2.5\sqrt{2}\sin(5t - 0.125\pi) \)",C,"V1 V N1 N4 5sin(5t)V
R1 R N1 N2 100kΩ
R2 R N4 N3 100kΩ
C1 C N2 N3 1μF
Labels:
Vc V N2 N3","* circuit generated from schema
V1 N1 0 SIN(0 5 0.795774715)
R1 N1 N2 100k
R2 0 N3 100k
C1 N2 N3 1uF
.end"
290,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCF4F0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Consider the diode circuit shown in <image>. The diode, D, obeys the current-voltage characteristic \( I_D = I_S \left( \exp \left( \frac{V_D}{nV_T} \right) - 1 \right) \), where \( n > 1 \), \( V_T > 0 \), \( V_D \) is the voltage across the diode, and \( I_D \) is the current through it. The circuit is biased so that voltage, \( V > 0 \), and current, \( I < 0 \). If you had to design this circuit to transfer maximum power from the current source (\( I_1 \)) to a resistive load (not shown) at the output, what values \( R_1 \) and \( R_2 \) would you choose?

Choices  
A. Large \( R_1 \) and large \( R_2 \).  
B. Small \( R_1 \) and small \( R_2 \).  
C. Large \( R_1 \) and small \( R_2 \).  
D. Small \( R_1 \) and large \( R_2 \).
",D,"I1 I N2 N1 NA
D D N1 N2 NA
R2 R N1 N2 NA
R1 R N1 N3 NA
Labels:
V V N3 N2
I I N1 N3","* circuit generated from schema
V1 N3 0 DC 1
I1 0 N1 DC 1m
D1 N1 0 Dmod
R2 N1 0 1k
R1 N1 N3 1k
.model Dmod D(IS=1e-14 N=1)
.end"
291,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCF550>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the amplifier circuit composed of an operational amplifier shown in figure, the type of feedback introduced by the feedback resistor \( R_5 \) is 
Choices 
A. Voltage-shunt negative feedback  
B. Voltage-series negative feedback  
C. Voltage-series positive feedback  
D. Voltage-shunt positive feedback
",C,"IC1A AMP Nn1 Np1 No1
IC1B AMP Nn2 Np2 No2
R1 R Np1 0 10KΩ
R2 R Nn1 Ni 10KΩ
R3 R Nn1 No1 20KΩ
R4 R No1 Np2 10KΩ
R5 R Np1 No2 50KΩ
R6 R Nn2 0 5KΩ
R8 R Nn2 No2 5KΩ
Labels:
Vi V Ni 0
Vo V No 0","* circuit generated from schema
.subckt AMP inn inp out
EAMP out 0 inp inn 1e6
.ends AMP
V1 Ni 0 DC 1
R1 Np1 0 10k
R2 Nn1 Ni 10k
R3 Nn1 No1 20k
R4 No1 Np2 10k
R5 Np1 No2 50k
R6 Nn2 0 5k
R8 Nn2 No2 5k
XIC1A Nn1 Np1 No1 AMP
XIC1B Nn2 Np2 No2 AMP
.end"
292,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCF730>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, the value of the current \( I \) is ( )
Choices 
A. \(-2A\)  
B. \(7A\)  
C. \(8A\)  
D. \(11A\)
",A,"V1 V N1 N0 10V
R1 R N1 N2 4Ω
I1 I N0 N2 3A; independent current source
R2 R N1 N3 4Ω
V2 V N3 N0 6V
Labels:
I I N1 N1","* circuit generated from schema
V1 N1 0 DC 10
R1 N1 N2 4
I1 0 N2 DC 3
R2 N1 N3 4
V2 N3 0 DC 6
.end"
294,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCF8B0>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: In the circuit shown in figure, if the readings of all voltmeters are 220 V and the resistance is \( 10 \, \Omega \), then \( X_L = \) ________ \( \Omega \).
",5.8,"C C N1 N3 NA
V2 VOLTMETER N1 N3 NA
V1 VOLTMETER N1 N2 NA
R R N3 N4 NA
L L N4 N2 NA
V3 VOLTMETER N3 N2 NA
Labels:
U V N1 N2","* circuit generated from schema
VU N1 0 DC 1
C1 N1 N3 1u
R1 N3 N4 1k
L1 N4 0 1m
.end"
295,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCF970>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.  
Question: In the figure, \( Z_1 = 10∠−60^\circ \), \( Z_2 = 10∠60^\circ \), \( Z_3 = 50∠53.13^\circ \). Thevenin impedance seen from X-Y is  
**Choices:**  
A. \( 56.66∠45^\circ \)  
B. \( 60∠30^\circ \)  
C. \( 70∠30^\circ \)  
D. \( 34.4∠65^\circ \)",A,"V1 V N1 N4 100∠0°V
Z1 Z N1 N2 NA
Z3 Z N2 X NA
Z2 Z N2 Y NA
","* circuit generated from schema
V1 N1 0 AC 100 0
RZ1 N1 N2 1k
RZ3 N2 X 1k
RZ2 N2 0 1k
.end"
296,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCF9D0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What are the states of the three ideal diodes of the circuit shown in <image>?

Choices:
A. \( D_1 \) ON, \( D_2 \) OFF, \( D_3 \) OFF  
B. \( D_1 \) OFF, \( D_2 \) ON, \( D_3 \) OFF  
C. \( D_1 \) ON, \( D_2 \) OFF, \( D_3 \) ON  
D. \( D_1 \) OFF, \( D_2 \) ON, \( D_3 \) ON
",A,"V1 V N1 N0 10V
R1 R N1 N2 1Ω
R2 R N2 N3 1Ω
D2 D N2 N3 NA
D1 D N2 N0 NA
R3 R N3 N0 1Ω
D3 D N0 N3 NA
I1 I N0 N3 5A; independent current source","* circuit generated from schema
V1 N1 0 DC 10
R1 N1 N2 1
R2 N2 N3 1
D2 N2 N3 Dmod
D1 N2 0 Dmod
R3 N3 0 1
D3 0 N3 Dmod
I1 0 N3 DC 5
.model Dmod D(Is=1e-14 N=1)
.end"
297,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCFB50>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, which is the main oscillation stage of a low-frequency signal generator, the name of this circuit is ( ), and ( ) is the thermistor, which accelerates the establishment of oscillation and stabilizes the amplitude.
Choices 
A. RC Wien bridge oscillator, \( R3 \)  
B. RC Wien bridge oscillator, \( R4 \)  
C. LC oscillator, \( R3 \)  
D. LC oscillator, \( R4 \)
",A,"A1 AMP Nn Np No; Nn inverting input, Np non-inverting input
C1 C N1 No NA
R1 R N1 Np NA
R3 R No Nn NA
R2 R Np 0 NA
C2 C Np 0 NA
R4 R Np 0 NA
Labels:
Uo V No 0","* circuit generated from schema
VIN N1 0 DC 1
E1 No 0 Np Nn 1e6
C1 N1 No 1u
R1 N1 Np 10k
R3 No Nn 10k
R2 Np 0 10k
C2 Np 0 1u
R4 Np 0 10k
.end"
298,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCFBB0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: A transistor circuit is given below. The Zener diode breakdown voltage is 5.3 V as shown. Take base to emitter voltage drop to be 0.6 V. The value of the current gain \( \beta \) is:

Choices:  
A. 2.7  
B. 12  
C. 19  
D. 28
",C,"Q1 NPN NC NB NE NA
R1 R Nv NB 4.7kΩ
R2 R Nv NC 220Ω
R3 R NE 0 470Ω
D1 D 0 NB 5.3kΩ; D is a zener diode
Labels:
10V V Nv 0
0.5mA I; current through D1","* circuit generated from schema
V1 Nv 0 DC 10
R1 Nv NB 4.7k
R2 Nv NC 220
R3 NE 0 470
D1 0 NB DZ
Q1 NC NB NE QNPN
.model DZ D(Is=1e-12 N=1.2 BV=5.3 IBV=0.0005 Rs=0.5 Cjo=2e-12 M=0.5)
.model QNPN NPN(Is=1e-14 BF=100 VAF=100 NF=1 ISE=1e-13 NE=1.5 IKF=0.1 RB=100 RC=10 RE=1 CJE=2e-12 CJC=2e-12 TF=4e-10)
.end"
299,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CFCFC70>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the symmetrical three-phase circuit shown in the figure, if the three-phase power supply voltage is 380V and each phase load is 20Ω, the readings of the voltmeter and ammeter are ( ).
Choices
A. 380V, 19A
B. 220V, 11A
C. 380V, \( 19\sqrt{3} \)A
D. 220V, \( 11\sqrt{3} \)A
",C,"A AMMETER NU N1 NA
Rw R N1 NW NA
Ru R N1 NV NA
Rv R NV NW NA
V VOLTMETER N1 NV NA","* circuit generated from schema
V1 NU 0 DC 1
VA NU N1 DC 0
Rw N1 NW 1k
Ru N1 NV 1k
Rv NV NW 1k
EVM VM 0 N1 NV 1
.end"
