index,schema,problem,solution,netlist
300,"*SPICE Netlist for circuit 300
C1 6 1 1nF
I1 VDD 2 DC 1mA
M2 4 1 0 0 NMOS W=1u L=1u
M1 2 2 0 0 NMOS W=1u L=1u
R2 2 1 1k
R1 4 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(4) V(6) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. -645.9 mV
B. 5.254 V
C. -1.646 V
D. 10.51 V",B,"*SPICE Netlist for circuit 300
C1 6 1 1nF
I1 VDD 2 DC 1mA
M2 4 1 0 0 NMOS W=1u L=1u
M1 2 2 0 0 NMOS W=1u L=1u
R2 2 1 1k
R1 4 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(4) V(6) V(VDD)
.END"
102,"M1 NMOS VDD N1 N2 N2 NA
I1 I N2 0 NA
V1 V N2 0 NA",2. What is the DC current through the voltage source V1?,2. I(V1) = -3.5447e-27 A.,"MOSFET circuit from schema
M1 VDD N1 N2 N2 NMOS
I1 I N2 0 DC 1mA
V1 V N2 0 DC 5
VDD VDD 0 DC 5
.model NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.model PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.op
.end"
301,"*SPICE Netlist for circuit 301
C1 7 2 1nF
I1 VDD 3 DC 1mA
M3 5 2 0 0 NMOS W=1u L=1u
M1 3 3 0 0 NMOS W=1u L=1u
M2 3 1 2 2 NMOS W=1u L=1u
R1 5 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(5) V(7) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 5?
A. 1.755 V
B. 0 V
C. -653.2 mV
D. 5.254 V",C,"*SPICE Netlist for circuit 301
C1 7 2 1nF
I1 VDD 3 DC 1mA
M3 5 2 0 0 NMOS W=1u L=1u
M1 3 3 0 0 NMOS W=1u L=1u
M2 3 1 2 2 NMOS W=1u L=1u
R1 5 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(5) V(7) V(VDD)
.END"
111,"M1 NMOS N_VOUT N_X 0 0 NA
M2 PMOS VDD N_VOUT VDD VDD NA
M3 PMOS VDD VIN N_X N_X NA
I1 I N_M1S 0 NA
I2 I 0 N_X NA
C1 C N_M1S 0 NA",1. What are the DC voltages at nodes 1 and 4?,"1. V(1) = -20.6551 V, V(4) = -20.0000 V","MOSFET Circuit Netlist
M1 N_VOUT N_X 0 0 NMOS
M2 VDD N_VOUT VDD VDD PMOS
M3 VDD VIN N_X N_X PMOS
I1 N_M1S 0 DC 1m
I2 0 N_X DC 1m
C1 N_M1S 0 1n
VDD_SRC VDD 0 DC 5

.model NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.model PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.op
.end"
301,"*SPICE Netlist for circuit 301
C1 7 2 1nF
I1 VDD 3 DC 1mA
M3 5 2 0 0 NMOS W=1u L=1u
M1 3 3 0 0 NMOS W=1u L=1u
M2 3 1 2 2 NMOS W=1u L=1u
R1 5 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(5) V(7) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 3?
A. 1.755 V
B. 5.254 V
C. 0 V
D. -653.2 mV",B,"*SPICE Netlist for circuit 301
C1 7 2 1nF
I1 VDD 3 DC 1mA
M3 5 2 0 0 NMOS W=1u L=1u
M1 3 3 0 0 NMOS W=1u L=1u
M2 3 1 2 2 NMOS W=1u L=1u
R1 5 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(5) V(7) V(VDD)
.END"
302,"*SPICE Netlist for circuit 302
C1 8 1 1nF
I1 VDD 2 DC 1mA
M4 5 1 0 0 NMOS W=1u L=1u
M2 3 3 0 0 NMOS W=1u L=1u
M3 3 2 1 1 NMOS W=1u L=1u
M1 2 2 3 3 NMOS W=1u L=1u
R1 5 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(5) V(8) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 3?
A. 5.254 V
B. 10.51 V
C. -645.9 mV
D. -1.646 V",A,"*SPICE Netlist for circuit 302
C1 8 1 1nF
I1 VDD 2 DC 1mA
M4 5 1 0 0 NMOS W=1u L=1u
M2 3 3 0 0 NMOS W=1u L=1u
M3 3 2 1 1 NMOS W=1u L=1u
M1 2 2 3 3 NMOS W=1u L=1u
R1 5 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(5) V(8) V(VDD)
.END"
302,"*SPICE Netlist for circuit 302
C1 8 1 1nF
I1 VDD 2 DC 1mA
M4 5 1 0 0 NMOS W=1u L=1u
M2 3 3 0 0 NMOS W=1u L=1u
M3 3 2 1 1 NMOS W=1u L=1u
M1 2 2 3 3 NMOS W=1u L=1u
R1 5 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(5) V(8) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 8?
A. -645.9 mV
B. -1.646 V
C. 10.51 V
D. 5.254 V",D,"*SPICE Netlist for circuit 302
C1 8 1 1nF
I1 VDD 2 DC 1mA
M4 5 1 0 0 NMOS W=1u L=1u
M2 3 3 0 0 NMOS W=1u L=1u
M3 3 2 1 1 NMOS W=1u L=1u
M1 2 2 3 3 NMOS W=1u L=1u
R1 5 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(5) V(8) V(VDD)
.END"
302,"*SPICE Netlist for circuit 302
C1 8 1 1nF
I1 VDD 2 DC 1mA
M4 5 1 0 0 NMOS W=1u L=1u
M2 3 3 0 0 NMOS W=1u L=1u
M3 3 2 1 1 NMOS W=1u L=1u
M1 2 2 3 3 NMOS W=1u L=1u
R1 5 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(5) V(8) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. 10.51 V
B. -645.9 mV
C. -1.646 V
D. 5.254 V",A,"*SPICE Netlist for circuit 302
C1 8 1 1nF
I1 VDD 2 DC 1mA
M4 5 1 0 0 NMOS W=1u L=1u
M2 3 3 0 0 NMOS W=1u L=1u
M3 3 2 1 1 NMOS W=1u L=1u
M1 2 2 3 3 NMOS W=1u L=1u
R1 5 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(5) V(8) V(VDD)
.END"
305,"*SPICE Netlist for circuit 305
C1 8 1 1nF
I1 VDD 3 DC 1mA
I2 4 0 DC 1mA
M2 6 1 0 0 NMOS W=1u L=1u
M1 3 3 0 0 NMOS W=1u L=1u
R1 3 1 1k
M3 4 4 9 9 PMOS W=1u L=1u
M4 6 4 9 9 PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3) V(4) V(6) V(8) V(9) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. -1.291 V
B. -645.9 mV
C. 5.254 V
D. -4.731 V",C,"*SPICE Netlist for circuit 305
C1 8 1 1nF
I1 VDD 3 DC 1mA
I2 4 0 DC 1mA
M2 6 1 0 0 NMOS W=1u L=1u
M1 3 3 0 0 NMOS W=1u L=1u
R1 3 1 1k
M3 4 4 9 9 PMOS W=1u L=1u
M4 6 4 9 9 PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3) V(4) V(6) V(8) V(9) V(VDD)
.END"
305,"*SPICE Netlist for circuit 305
C1 8 1 1nF
I1 VDD 3 DC 1mA
I2 4 0 DC 1mA
M2 6 1 0 0 NMOS W=1u L=1u
M1 3 3 0 0 NMOS W=1u L=1u
R1 3 1 1k
M3 4 4 9 9 PMOS W=1u L=1u
M4 6 4 9 9 PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3) V(4) V(6) V(8) V(9) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 4?
A. -645.9 mV
B. -4.731 V
C. -1.291 V
D. 5.254 V",B,"*SPICE Netlist for circuit 305
C1 8 1 1nF
I1 VDD 3 DC 1mA
I2 4 0 DC 1mA
M2 6 1 0 0 NMOS W=1u L=1u
M1 3 3 0 0 NMOS W=1u L=1u
R1 3 1 1k
M3 4 4 9 9 PMOS W=1u L=1u
M4 6 4 9 9 PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3) V(4) V(6) V(8) V(9) V(VDD)
.END"
305,"*SPICE Netlist for circuit 305
C1 8 1 1nF
I1 VDD 3 DC 1mA
I2 4 0 DC 1mA
M2 6 1 0 0 NMOS W=1u L=1u
M1 3 3 0 0 NMOS W=1u L=1u
R1 3 1 1k
M3 4 4 9 9 PMOS W=1u L=1u
M4 6 4 9 9 PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3) V(4) V(6) V(8) V(9) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 6?
A. -1.291 V
B. -645.9 mV
C. -4.731 V
D. 5.254 V",B,"*SPICE Netlist for circuit 305
C1 8 1 1nF
I1 VDD 3 DC 1mA
I2 4 0 DC 1mA
M2 6 1 0 0 NMOS W=1u L=1u
M1 3 3 0 0 NMOS W=1u L=1u
R1 3 1 1k
M3 4 4 9 9 PMOS W=1u L=1u
M4 6 4 9 9 PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3) V(4) V(6) V(8) V(9) V(VDD)
.END"
306,"*SPICE Netlist for circuit 306
C1 9 VDD 1nF
C2 7 1 1nF
I1 VDD 2 DC 1mA
M2 3 1 0 0 NMOS W=1u L=1u
M1 2 2 0 0 NMOS W=1u L=1u
R1 2 1 1k
R2 9 3 1k
M3 3 8 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(7) V(8) V(9) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 9?
A. -646 mV
B. 5.254 V
C. 0 V
D. -1.301 V",A,"*SPICE Netlist for circuit 306
C1 9 VDD 1nF
C2 7 1 1nF
I1 VDD 2 DC 1mA
M2 3 1 0 0 NMOS W=1u L=1u
M1 2 2 0 0 NMOS W=1u L=1u
R1 2 1 1k
R2 9 3 1k
M3 3 8 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(7) V(8) V(9) V(VDD)
.END"
306,"*SPICE Netlist for circuit 306
C1 9 VDD 1nF
C2 7 1 1nF
I1 VDD 2 DC 1mA
M2 3 1 0 0 NMOS W=1u L=1u
M1 2 2 0 0 NMOS W=1u L=1u
R1 2 1 1k
R2 9 3 1k
M3 3 8 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(7) V(8) V(9) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 7?
A. 5.254 V
B. -645.9 mV
C. -1.301 V
D. 0 V",A,"*SPICE Netlist for circuit 306
C1 9 VDD 1nF
C2 7 1 1nF
I1 VDD 2 DC 1mA
M2 3 1 0 0 NMOS W=1u L=1u
M1 2 2 0 0 NMOS W=1u L=1u
R1 2 1 1k
R2 9 3 1k
M3 3 8 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(7) V(8) V(9) V(VDD)
.END"
306,"*SPICE Netlist for circuit 306
C1 9 VDD 1nF
C2 7 1 1nF
I1 VDD 2 DC 1mA
M2 3 1 0 0 NMOS W=1u L=1u
M1 2 2 0 0 NMOS W=1u L=1u
R1 2 1 1k
R2 9 3 1k
M3 3 8 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(7) V(8) V(9) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 3?
A. 0 V
B. -645.9 mV
C. -1.301 V
D. 5.254 V",B,"*SPICE Netlist for circuit 306
C1 9 VDD 1nF
C2 7 1 1nF
I1 VDD 2 DC 1mA
M2 3 1 0 0 NMOS W=1u L=1u
M1 2 2 0 0 NMOS W=1u L=1u
R1 2 1 1k
R2 9 3 1k
M3 3 8 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(7) V(8) V(9) V(VDD)
.END"
307,"*SPICE Netlist for circuit 307
C1 10 VDD 1nF
C2 8 1 1nF
I1 VDD 2 DC 1mA
I2 3 0 DC 1mA
M2 4 1 0 0 NMOS W=1u L=1u
M1 2 2 0 0 NMOS W=1u L=1u
R1 2 1 1k
R2 3 4 1k
M3 4 10 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(10) V(2) V(3) V(4) V(8) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 4?
A. 5.254 V
B. -668.7 mV
C. -1.669 V
D. -1.321 V",B,"*SPICE Netlist for circuit 307
C1 10 VDD 1nF
C2 8 1 1nF
I1 VDD 2 DC 1mA
I2 3 0 DC 1mA
M2 4 1 0 0 NMOS W=1u L=1u
M1 2 2 0 0 NMOS W=1u L=1u
R1 2 1 1k
R2 3 4 1k
M3 4 10 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(10) V(2) V(3) V(4) V(8) V(VDD)
.END"
307,"*SPICE Netlist for circuit 307
C1 10 VDD 1nF
C2 8 1 1nF
I1 VDD 2 DC 1mA
I2 3 0 DC 1mA
M2 4 1 0 0 NMOS W=1u L=1u
M1 2 2 0 0 NMOS W=1u L=1u
R1 2 1 1k
R2 3 4 1k
M3 4 10 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(10) V(2) V(3) V(4) V(8) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. 5.254 V
B. -668.7 mV
C. -1.321 V
D. -1.669 V",A,"*SPICE Netlist for circuit 307
C1 10 VDD 1nF
C2 8 1 1nF
I1 VDD 2 DC 1mA
I2 3 0 DC 1mA
M2 4 1 0 0 NMOS W=1u L=1u
M1 2 2 0 0 NMOS W=1u L=1u
R1 2 1 1k
R2 3 4 1k
M3 4 10 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(10) V(2) V(3) V(4) V(8) V(VDD)
.END"
307,"*SPICE Netlist for circuit 307
C1 10 VDD 1nF
C2 8 1 1nF
I1 VDD 2 DC 1mA
I2 3 0 DC 1mA
M2 4 1 0 0 NMOS W=1u L=1u
M1 2 2 0 0 NMOS W=1u L=1u
R1 2 1 1k
R2 3 4 1k
M3 4 10 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(10) V(2) V(3) V(4) V(8) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 10?
A. -1.669 V
B. 5.254 V
C. -668.7 mV
D. -1.321 V",D,"*SPICE Netlist for circuit 307
C1 10 VDD 1nF
C2 8 1 1nF
I1 VDD 2 DC 1mA
I2 3 0 DC 1mA
M2 4 1 0 0 NMOS W=1u L=1u
M1 2 2 0 0 NMOS W=1u L=1u
R1 2 1 1k
R2 3 4 1k
M3 4 10 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(10) V(2) V(3) V(4) V(8) V(VDD)
.END"
310,"*SPICE Netlist for circuit 310
C1 3 0 1nF
I1 VDD 3 DC 1mA
M1 2 1 0 0 NMOS W=1u L=1u
R1 1 2 1k
M2 2 1 3 3 PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 3?
A. 8.694 V
B. 5.254 V
C. 17.39 V
D. -1 mV",A,"*SPICE Netlist for circuit 310
C1 3 0 1nF
I1 VDD 3 DC 1mA
M1 2 1 0 0 NMOS W=1u L=1u
R1 1 2 1k
M2 2 1 3 3 PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(VDD)
.END"
310,"*SPICE Netlist for circuit 310
C1 3 0 1nF
I1 VDD 3 DC 1mA
M1 2 1 0 0 NMOS W=1u L=1u
R1 1 2 1k
M2 2 1 3 3 PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. -1 mV
B. 10.51 V
C. 5.254 V
D. 8.694 V",C,"*SPICE Netlist for circuit 310
C1 3 0 1nF
I1 VDD 3 DC 1mA
M1 2 1 0 0 NMOS W=1u L=1u
R1 1 2 1k
M2 2 1 3 3 PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(VDD)
.END"
310,"*SPICE Netlist for circuit 310
C1 3 0 1nF
I1 VDD 3 DC 1mA
M1 2 1 0 0 NMOS W=1u L=1u
R1 1 2 1k
M2 2 1 3 3 PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. -1 mV
B. 10.51 V
C. 8.694 V
D. 5.254 V",D,"*SPICE Netlist for circuit 310
C1 3 0 1nF
I1 VDD 3 DC 1mA
M1 2 1 0 0 NMOS W=1u L=1u
R1 1 2 1k
M2 2 1 3 3 PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(VDD)
.END"
311,"*SPICE Netlist for circuit 311
C1 3 0 1nF
C2 5 1 1nF
I1 VDD 3 DC 1mA
M1 2 1 0 0 NMOS W=1u L=1u
R1 1 2 1k
M2 2 1 3 3 PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(5) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 5?
A. -1 mV
B. 4.516 V
C. 7.228 V
D. 9.031 V",B,"*SPICE Netlist for circuit 311
C1 3 0 1nF
C2 5 1 1nF
I1 VDD 3 DC 1mA
M1 2 1 0 0 NMOS W=1u L=1u
R1 1 2 1k
M2 2 1 3 3 PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(5) V(VDD)
.END"
311,"*SPICE Netlist for circuit 311
C1 3 0 1nF
C2 5 1 1nF
I1 VDD 3 DC 1mA
M1 2 1 0 0 NMOS W=1u L=1u
R1 1 2 1k
M2 2 1 3 3 PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(5) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 3?
A. 7.228 V
B. 14.46 V
C. 4.516 V
D. -1 mV",A,"*SPICE Netlist for circuit 311
C1 3 0 1nF
C2 5 1 1nF
I1 VDD 3 DC 1mA
M1 2 1 0 0 NMOS W=1u L=1u
R1 1 2 1k
M2 2 1 3 3 PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(5) V(VDD)
.END"
311,"*SPICE Netlist for circuit 311
C1 3 0 1nF
C2 5 1 1nF
I1 VDD 3 DC 1mA
M1 2 1 0 0 NMOS W=1u L=1u
R1 1 2 1k
M2 2 1 3 3 PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(5) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. 4.516 V
B. -1 mV
C. 7.228 V
D. 9.031 V",A,"*SPICE Netlist for circuit 311
C1 3 0 1nF
C2 5 1 1nF
I1 VDD 3 DC 1mA
M1 2 1 0 0 NMOS W=1u L=1u
R1 1 2 1k
M2 2 1 3 3 PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(5) V(VDD)
.END"
312,"*SPICE Netlist for circuit 312
C1 6 3 1nF
R4 7 6 1k
I1 VDD 2 DC 1mA
R1 0 3 1k
R2 0 8 1k
V1 7 0 5V
M2 2 2 8 8 NMOS W=1u L=1u
M1 4 2 3 3 NMOS W=1u L=1u
R3 4 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(2) V(3) V(4) V(6) V(7) V(8) V(VDD) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 6?
A. -1 V
B. -1.641 V
C. 6.254 V
D. 5 V",D,"*SPICE Netlist for circuit 312
C1 6 3 1nF
R4 7 6 1k
I1 VDD 2 DC 1mA
R1 0 3 1k
R2 0 8 1k
V1 7 0 5V
M2 2 2 8 8 NMOS W=1u L=1u
M1 4 2 3 3 NMOS W=1u L=1u
R3 4 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(2) V(3) V(4) V(6) V(7) V(8) V(VDD) I(V1)
.END"
